Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	7	4.57516339869281	0.002777766859395975	Q29116, Q7TN31, Q03001, Q9W770, A2AVA0, P14318, P31007	97	154	10539	4.938612933458294	0.7294685837807743	0.7294685837807743	3.893002248084898
GOTERM_BP_DIRECT	GO:0048477~oogenesis	5	3.2679738562091507	0.007458947409091269	Q1LZ75, P21187, Q08473, Q11183, P12370	97	85	10539	6.3911461491813215	0.9703663606430898	0.8278557600240131	10.136313332534574
GOTERM_BP_DIRECT	GO:0048149~behavioral response to ethanol	3	1.9607843137254901	0.014022702144846341	Q9W534, P31007, P12370	97	20	10539	16.29742268041237	0.9986894601037801	0.8905665522258273	18.2571739748848
GOTERM_BP_DIRECT	GO:1901998~toxin transport	3	1.9607843137254901	0.01834546013960151	O55029, Q9QXN3, Q8WVM8	97	23	10539	14.171671896010757	0.9998338197830596	0.8864610612907722	23.22684260471911
GOTERM_BP_DIRECT	GO:0007612~learning	3	1.9607843137254901	0.02315462644229982	P12370, P91685, Q29449	97	26	10539	12.536478984932593	0.9999834751597263	0.8894325091558082	28.424779828859627
GOTERM_BP_DIRECT	GO:0016192~vesicle-mediated transport	5	3.2679738562091507	0.06142632705820713	O55029, Q9VXY2, Q09473, Q32Q06, Q9Y6B7	97	163	10539	3.332806274112959	0.9999999999998852	0.9930280301919532	59.54395742634484
GOTERM_BP_DIRECT	GO:0035646~endosome to melanosome transport	2	1.3071895424836601	0.07061346529548625	P08962, Q32Q06	97	8	10539	27.162371134020617	0.9999999999999989	0.9926782682208886	64.8439305327273
GOTERM_BP_DIRECT	GO:0032786~positive regulation of DNA-templated transcription, elongation	2	1.3071895424836601	0.07908570034843468	Q03468, Q9V460	97	9	10539	24.144329896907216	1.0	0.992095416792532	69.15207227418666
GOTERM_BP_DIRECT	GO:0007314~oocyte anterior/posterior axis specification	2	1.3071895424836601	0.08748150023069107	Q08473, P12370	97	10	10539	21.729896907216496	1.0	0.9916105775651901	72.93261757113758
GOTERM_BP_DIRECT	GO:0008049~male courtship behavior	2	1.3071895424836601	0.09580154733691329	P31007, P91685	97	11	10539	19.754451733833175	1.0	0.9912017419311845	76.25013715745004
